Año,Trimestre,Provincia,Hasta 512 kbps_prov,'+ 512 Kbps - 1 Mbps_prov,'+ 1 Mbps - 6 Mbps_prov,'+ 6 Mbps - 10 Mbps_prov,'+ 10 Mbps - 20 Mbps_prov,'+ 20 Mbps - 30 Mbps_prov,'+ 30 Mbps_prov,Otros_prov,Total_prov,Hasta 512 kbps_total,'+ 512 Kbps - 1 Mbps_total,'+ 1 Mbps - 6 Mbps_total,'+ 6 Mbps - 10 Mbps_total,'+ 10 Mbps - 20 Mbps_total,'+ 20 Mbps - 30 Mbps_total,'+ 30 Mbps_total,Otros_total,Total_total
2025,1,Buenos Aires,644.00,20448.00,172059.00,132611.00,220036.00,123678.00,4554422.00,66998.00,5290896.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,CABA,294.00,2986.00,12682.00,16697.00,1569.00,5217.00,1423578.00,1792.00,1478936.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Catamarca,71.00,1240.00,2384.00,2591.00,334.00,2766.00,67675.00,660.00,79017.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Chaco,236.00,2260.00,11319.00,727.00,4231.00,1074.00,128061.00,5578.00,167661.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Chubut,104.00,3060.00,30828.00,102.00,13511.00,21478.00,102157.00,6137.00,184721.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Córdoba,99.00,6591.00,95827.00,66131.00,4159.00,29005.00,883756.00,2203.00,1125202.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Corrientes,67.00,211.00,15032.00,1224.00,5044.00,2519.00,121341.00,5551.00,163904.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Entre Ríos,107.00,3884.00,29322.00,37275.00,16849.00,10912.00,186908.00,18562.00,303819.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Formosa,84.00,1050.00,20888.00,10389.00,3445.00,2730.00,30574.00,2920.00,66050.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,Jujuy,58.00,1065.00,11060.00,13099.00,27488.00,1008.00,76659.00,1433.00,131870.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
2025,1,La Pampa,66.00,4190.00,37887.00,954.00,8468.00,10834.00,59833.00,2551.00,129598.00,3.08,54685.00,670937.00,502215.00,540061.00,371315.00,9699232.00,25009.00,12091617.00
