Año,Trimestre,Provincia,Velocidad,Accesos_prov,LinkIndec,Partido,Localidad,Accesos_loc
2024,4,CABA,2.00,229.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,232.00
2024,4,CABA,0.50,228.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,228.00
2024,4,CABA,7.00,11.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,11.00
2024,4,CABA,9.00,36.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,34.00
2024,4,CABA,11.00,5.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,5.00
2024,4,CABA,12.00,94.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,94.00
2024,4,CABA,14.00,28.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,27.00
2024,4,CABA,16.00,5.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,5.00
2024,4,CABA,19.00,24.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,24.00
2024,4,CABA,21.00,1.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1.00
2024,4,CABA,25.00,224.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,81.00
2024,4,CABA,0.26,31.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,31.00
2024,4,CABA,35.00,23.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,23.00
2024,4,CABA,40.00,230.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,227.00
2024,4,CABA,45.00,9.00,2000010,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,9.00
